player,matches,inn,overs,maiden,runs,wkts,bb_inn,avg,econ,sr,_4w,_5w,season
T Shamsi (SA),3,3,28.3,0,138,6,4/33,23.00,4.84,28.5,1,0,2018
Sompal Kami (NEP),3,3,28.4,1,133,6,3/34,22.16,4.63,28.6,0,0,2018
B Stanlake (AUS),4,4,36.0,2,207,6,3/35,34.50,5.75,36.0,0,0,2018
P Khadka (NEP),3,3,22.0,0,83,5,4/26,16.60,3.77,26.4,1,0,2018
SL Malinga (SL),2,2,20.0,2,89,5,4/23,17.80,4.45,24.0,1,0,2018
Mohammad Nawaz (3) (PAK),4,4,35.0,1,178,5,3/57,35.60,5.08,42.0,0,0,2018
PWA Mulder (SA),5,5,30.0,0,204,5,2/59,40.80,6.80,36.0,0,0,2018
JA Richardson (AUS),3,3,27.0,1,214,5,3/92,42.80,7.92,32.4,0,0,2018
MJG Rippon (NED),2,2,20.0,3,69,5,3/23,13.80,3.45,24.0,0,0,2018
PM Seelaar (NED),2,2,19.0,2,70,5,3/20,14.00,3.68,22.8,0,0,2018
AC Agar (AUS),5,5,42.0,2,232,4,2/48,58.00,5.52,63.0,0,0,2018
KK Ahmed (IND),2,2,20.0,1,93,4,3/48,23.25,4.65,30.0,0,0,2018
Ahmed Raza (UAE),1,1,10.0,1,37,4,4/37,9.25,3.70,15.0,1,0,2018
D Bishoo (WI),3,3,30.0,1,133,4,2/52,33.25,4.43,45.0,0,0,2018
Mustafizur Rahman (BAN),13,13,114.1,3,786,30,5/59,26.20,6.88,22.8,1,2,2019
MA Starc (AUS),10,10,92.2,5,502,27,5/26,18.59,5.43,20.5,2,2,2019
CR Woakes (ENG),15,15,119.0,8,658,26,5/54,25.30,5.52,27.4,1,1,2019
JC Archer (ENG),14,14,122.5,10,569,23,3/27,24.73,4.63,32.0,0,0,2019
LH Ferguson (NZ),9,9,83.4,3,409,21,4/37,19.47,4.88,23.9,1,0,2019
Shaheen Shah Afridi (PAK),9,8,77.1,3,479,21,6/35,22.80,6.20,22.0,2,1,2019
N Pokana (PNG),9,9,74.3,7,285,20,3/25,14.25,3.82,22.3,0,0,2019
MA Wood (ENG),11,11,99.4,2,534,20,3/18,26.70,5.35,29.9,0,0,2019
Gulbadin Naib (AFG),12,12,95.0,2,580,19,6/43,30.52,6.10,30.0,0,1,2019
LE Plunkett (ENG),11,11,85.0,0,453,19,4/35,23.84,5.32,26.8,1,0,2019
JJ Bumrah (IND),9,9,84.0,9,371,18,4/55,20.61,4.41,28.0,1,0,2019
Mohammed Shami (IND),7,7,53.1,3,287,18,5/69,15.94,5.39,17.7,2,1,2019
TA Boult (NZ),10,10,99.0,4,479,17,4/30,28.17,4.83,34.9,2,0,2019
Mohammad Amir (PAK),9,8,73.0,5,358,17,5/30,21.05,4.90,25.7,0,1,2019
Mohammad Saifuddin (BAN),10,10,82.0,3,536,17,3/72,31.52,6.53,28.9,0,0,2019
SL Malinga (SL),8,8,71.2,6,411,16,4/43,25.68,5.76,26.7,1,0,2019
MR Adair (IRE),9,9,80.4,3,509,15,4/19,33.93,6.30,32.2,2,0,2019
SS Cottrell (WI),15,14,109.2,4,626,15,4/56,41.73,5.72,43.7,1,0,2019
JDS Neesham (NZ),10,9,54.3,2,292,15,5/31,19.46,5.35,21.8,0,1,2019
AU Rashid (ENG),16,16,126.5,0,740,15,3/54,49.33,5.83,50.7,0,0,2019
PJ Cummins (AUS),10,10,86.1,6,427,14,3/33,30.50,4.95,36.9,0,0,2019
N Pradeep (SL),6,6,55.0,3,295,14,4/31,21.07,5.36,23.5,2,0,2019
MJ Henry (NZ),9,9,80.2,5,392,14,4/47,28.00,4.87,34.4,1,0,2019
B Kumar (IND),9,9,68.4,3,359,14,4/31,25.64,5.22,29.4,1,0,2019
YS Chahal (IND),9,9,81.0,0,474,13,4/51,36.46,5.85,37.3,1,0,2019
KM Jarvis (ZIM),9,9,71.0,8,276,13,4/17,21.23,3.88,32.7,1,0,2019
CH Morris (SA),8,7,63.4,5,341,13,3/13,26.23,5.35,29.3,0,0,2019
WB Rankin (IRE),8,8,67.5,2,377,13,3/40,29.00,5.55,31.3,0,0,2019
Shakib Al Hasan (BAN),11,11,103.0,2,524,13,5/29,40.30,5.08,47.5,0,1,2019
CR Brathwaite (WI),11,9,57.3,0,414,12,4/63,34.50,7.20,28.7,1,0,2019
Dawlat Zadran (AFG),8,8,63.0,1,422,12,3/35,35.16,6.69,31.5,0,0,2019
TJ Murtagh (IRE),8,8,74.5,6,350,12,5/21,29.16,4.67,37.4,0,1,2019
Z Groenewald (NAM),4,4,33.0,3,130,11,5/20,11.81,3.93,18.0,0,1,2019
JO Holder (WI),17,15,106.1,5,617,11,3/42,56.09,5.81,57.9,0,0,2019
Imran Tahir (SA),9,8,76.0,0,374,11,4/29,34.00,4.92,41.4,1,0,2019
Mehidy Hasan Miraz (BAN),13,13,119.0,0,608,11,2/47,55.27,5.10,64.9,0,0,2019
AL Phehlukwayo (SA),9,8,61.5,2,336,11,2/18,30.54,5.43,33.7,0,0,2019
K Rabada (SA),9,8,78.0,4,397,11,3/56,36.09,5.08,42.5,0,0,2019
Wahab Riaz (PAK),8,8,66.4,1,400,11,3/46,36.36,6.00,36.3,0,0,2019
SC Williams (ZIM),9,9,68.0,9,292,11,4/43,26.54,4.29,37.0,1,0,2019
Aftab Alam (AFG),6,6,45.0,2,236,10,3/28,23.60,5.24,27.0,0,0,2019
TL Chatara (ZIM),8,8,65.4,6,269,10,3/25,26.90,4.09,39.4,0,0,2019
JN Frylinck (NAM),5,5,32.3,4,116,10,5/13,11.60,3.56,19.5,0,1,2019
ST Gabriel (WI),7,7,51.3,1,352,10,3/44,35.20,6.83,30.9,0,0,2019
Hamza Tahir (SCOT),3,3,29.2,0,101,10,5/38,10.10,3.44,17.6,1,1,2019
Khawar Ali (OMA),5,5,43.0,1,188,10,4/23,18.80,4.37,25.8,1,0,2019
Mohammad Nabi (AFG),10,10,76.4,0,356,10,4/30,35.60,4.64,46.0,1,0,2019
HH Pandya (IND),9,9,79.0,1,447,10,3/60,44.70,5.65,47.4,0,0,2019
KAJ Roach (WI),12,11,82.0,6,451,10,3/36,45.10,5.50,49.2,0,0,2019
A Vala (PNG),9,8,57.0,3,223,10,3/37,22.30,3.91,34.2,0,0,2019
A Zampa (AUS),3,3,30.0,0,142,10,4/55,14.20,4.73,18.0,1,0,2020
AU Rashid (ENG),6,6,57.2,4,311,9,3/34,34.55,5.42,38.2,0,0,2020
DJ Willey (ENG),3,3,28.4,4,148,8,5/30,18.50,5.16,21.5,0,1,2020
JC Archer (ENG),3,3,29.0,2,151,7,3/34,21.57,5.20,24.8,0,0,2020
CR Woakes (ENG),3,3,30.0,1,137,6,3/32,22.83,4.56,30.0,0,0,2020
CA Young (IRE),3,3,27.0,1,177,6,3/53,29.50,6.55,27.0,0,0,2020
C Campher (IRE),3,3,21.3,2,144,5,2/50,28.80,6.69,25.8,0,0,2020
JB Little (IRE),2,2,18.5,3,122,5,3/60,24.40,6.47,22.6,0,0,2020
MA Starc (AUS),3,3,30.0,1,159,5,3/74,31.80,5.30,36.0,0,0,2020
JR Hazlewood (AUS),3,3,30.0,5,121,4,3/26,30.25,4.03,45.0,0,0,2020
S Mahmood (ENG),3,3,27.5,1,139,4,2/36,34.75,4.99,41.7,0,0,2020
PJ Cummins (AUS),3,3,30.0,3,183,3,1/53,61.00,6.10,60.0,0,0,2020
SM Curran (ENG),1,1,9.0,0,35,3,3/35,11.66,3.88,18.0,0,0,2020
MA Wood (ENG),2,2,19.0,1,94,3,3/54,31.33,4.94,38.0,0,0,2020
MR Marsh (AUS),3,3,19.0,2,103,2,1/29,51.50,5.42,57.0,0,0,2020
JE Root (ENG),3,1,8.0,0,46,2,2/46,23.00,5.75,24.0,0,0,2020
MR Adair (IRE),1,1,7.0,0,45,1,1/45,45.00,6.42,42.0,0,0,2020
TK Curran (ENG),4,4,33.0,3,172,1,1/37,172.00,5.21,198.0,0,0,2020
GJ Delany (IRE),3,2,8.0,0,41,1,1/29,41.00,5.12,48.0,0,0,2020
AR McBrine (IRE),3,3,21.0,0,141,1,1/47,141.00,6.71,126.0,0,0,2020
RJW Topley (ENG),1,1,9.0,1,31,1,1/31,31.00,3.44,54.0,0,0,2020
JM Vince (ENG),3,2,7.0,0,38,1,1/18,38.00,5.42,42.0,0,0,2020
MM Ali (ENG),4,4,35.0,0,174,0,,,,,,,
GJ Maxwell (AUS),3,2,7.0,0,42,0,,,,,,,
BJ McCarthy (IRE),1,1,0.5,0,3,0,,,,,,,
Simi Singh (IRE),2,2,5.5,0,26,0,,,,,,,
PR Stirling (IRE),3,1,0.1,0,1,0,,,,,,,
MP Stoinis (AUS),3,2,4.0,0,35,0,,,,,,,
JM Bairstow (ENG),6,6,,,,,,,,,,,
A Balbirnie (IRE),3,3,,,,,,,,,,,
T Banton (ENG),3,3,,,,,,,,,,,
SW Billings (ENG),6,6,,,,,,,,,,,
JC Buttler (ENG),3,3,,,,,,,,,,,
AT Carey (AUS),3,3,,,,,,,,,,,
AJ Finch (AUS),3,3,,,,,,,,,,,
M Labuschagne (AUS),3,3,,,,,,,,,,,
EJG Morgan (ENG),6,6,,,,,,,,,,,
KJ O'Brien (IRE),3,3,,,,,,,,,,,
JJ Roy (ENG),6,6,,,,,,,,,,,
HT Tector (IRE),3,3,,,,,,,,,,,
LJ Tucker (IRE),3,3,,,,,,,,,,,
DA Warner (AUS),3,3,,,,,,,,,,,
PVD Chameera (SL),12,11,86.2,4,480,18,5/16,26.66,5.55,28.7,0,1,2021
S Lamichhane (NEP),6,5,41.5,5,133,18,6/11,7.38,3.17,13.9,2,1,2021
JB Little (IRE),9,7,66.0,2,315,16,4/39,19.68,4.77,24.7,1,0,2021
T Shamsi (SA),8,8,72.4,1,369,14,5/49,26.35,5.07,31.1,0,1,2021
Haris Rauf (PAK),6,6,51.0,1,318,13,4/65,24.46,6.23,23.5,1,0,2021
CA Soper (PNG),7,7,58.0,8,230,13,3/45,17.69,3.96,26.7,0,0,2021
KA Maharaj (SA),7,7,67.0,3,284,12,3/38,23.66,4.23,33.5,0,0,2021
SN Netravalkar (USA),6,6,50.1,5,194,12,4/29,16.16,3.86,25.0,1,0,2021
Bilal Khan (OMA),8,8,51.0,3,256,11,4/47,23.27,5.01,27.8,1,0,2021
AC Evans (SCOT),5,4,34.4,2,145,11,5/43,13.18,4.18,18.9,0,1,2021
PW Hasaranga (SL),11,10,91.0,6,429,11,3/37,39.00,4.71,49.6,0,0,2021
KV Morea (PNG),4,4,39.0,2,144,11,5/28,13.09,3.69,21.2,0,1,2021
AL Phehlukwayo (SA),9,9,62.0,1,403,11,3/56,36.63,6.50,33.8,0,0,2021
Shakib Al Hasan (BAN),6,6,58.5,3,248,11,5/30,22.54,4.21,32.0,0,1,2021
MA Starc (AUS),3,3,27.1,2,117,11,5/48,10.63,4.30,14.8,0,1,2021
NP Kenjige (USA),6,6,45.2,1,179,10,3/22,17.90,3.94,27.2,0,0,2021
Ayaan Khan (OMA),8,7,44.2,6,149,10,4/36,14.90,3.36,26.6,1,0,2021
CA Young (IRE),8,6,54.2,3,233,10,4/18,23.30,4.28,32.6,1,0,2021
Zeeshan Maqsood (OMA),8,8,61.4,3,264,10,4/28,26.40,4.28,37.0,1,0,2021
Khawar Ali (OMA),5,5,32.1,2,145,9,5/15,16.11,4.50,21.4,0,1,2021
AR McBrine (IRE),9,7,60.0,8,236,9,3/26,26.22,3.93,40.0,0,0,2021
S Mahmood (ENG),3,3,28.0,3,123,9,4/42,13.66,4.39,18.6,1,0,2021
Mustafizur Rahman (BAN),4,4,34.3,1,154,9,3/16,17.11,4.46,23.0,0,0,2021
B Muzarabani (ZIM),6,6,52.5,8,218,9,4/29,24.22,4.12,35.2,1,0,2021
K Rabada (SA),7,7,61.2,5,323,9,2/16,35.88,5.26,40.8,0,0,2021
Simi Singh (IRE),9,7,65.5,8,247,9,3/29,27.44,3.75,43.8,0,0,2021
DJ Willey (ENG),3,3,27.0,2,144,9,4/64,16.00,5.33,18.0,1,0,2021
LM Jongwe (ZIM),6,6,44.0,0,280,8,3/51,35.00,6.36,33.0,0,0,2021
Karan KC (NEP),5,5,27.0,1,167,8,4/25,20.87,6.18,20.2,1,0,2021
Mehidy Hasan Miraz (BAN),5,5,40.2,2,155,8,4/30,19.37,3.84,30.2,1,0,2021
A Nortje (SA),5,5,47.1,1,284,8,4/51,35.50,6.02,35.3,1,0,2021
NK Patel (USA),6,6,44.4,3,171,8,4/30,21.37,3.82,33.5,1,0,2021
Shaheen Shah Afridi (PAK),6,6,52.3,2,331,8,3/58,41.37,6.30,39.3,0,0,2021
Hasan Ali (PAK),4,4,32.2,0,229,7,5/51,32.71,7.08,27.7,0,1,2021
GT Main (SCOT),4,4,31.0,4,137,7,3/33,19.57,4.41,26.5,0,0,2021
Mohammad Saifuddin (BAN),5,4,32.0,0,213,7,3/87,30.42,6.65,27.4,0,0,2021
R Ngarava (ZIM),5,5,41.0,3,210,7,3/52,30.00,5.12,35.1,0,0,2021
Shoriful Islam (BAN),4,4,30.0,0,160,7,4/46,22.85,5.33,25.7,1,0,2021
Taskin Ahmed (BAN),6,6,51.0,1,243,7,4/46,34.71,4.76,43.7,1,0,2021
LV van Beek (NED),5,5,42.2,2,164,7,3/29,23.42,3.87,36.2,0,0,2021
HR Walsh (WI),3,3,27.0,0,112,7,5/39,16.00,4.14,23.1,0,1,2021
BA Carse (ENG),3,3,25.0,0,136,6,5/61,22.66,5.44,25.0,0,1,2021
DM de Silva (SL),11,9,45.0,0,234,6,3/45,39.00,5.20,45.0,0,0,2021
AJ Hosein (WI),3,3,30.0,2,109,6,3/30,18.16,3.63,30.0,0,0,2021
AS Joseph (WI),3,3,21.1,0,93,6,3/39,15.50,4.39,21.1,0,0,2021
Kaleemullah (OMA),8,8,51.0,2,209,6,1/16,34.83,4.09,51.0,0,0,2021
C Karunaratne (SL),10,8,41.0,1,216,6,2/24,36.00,5.26,41.0,0,0,2021
VJ Kingma (NED),3,3,24.0,2,84,6,3/21,14.00,3.50,24.0,0,0,2021
PADLR Sandakan (SL),4,4,38.4,0,233,6,3/54,38.83,6.02,38.6,0,0,2021
CR Woakes (ENG),2,2,20.0,8,46,6,4/18,7.66,2.30,20.0,1,0,2021
SN Netravalkar (USA),15,15,140.4,8,676,28,5/45,24.14,4.80,30.1,0,1,2022
GT Main (SCOT),9,9,72.1,6,402,23,5/52,17.47,5.57,18.8,1,1,2022
Hamza Tahir (SCOT),15,15,129.0,5,512,22,4/26,23.27,3.96,35.1,1,0,2022
AJ Hosein (WI),15,15,139.0,5,693,22,4/39,31.50,4.98,37.9,1,0,2022
MRJ Watt (SCOT),13,13,107.5,9,451,21,5/33,21.47,4.18,30.8,1,1,2022
Bilal Khan (OMA),8,8,69.2,4,367,20,5/54,18.35,5.29,20.8,0,1,2022
S Lamichhane (NEP),8,8,76.0,4,330,19,4/29,17.36,4.34,24.0,2,0,2022
TA Boult (NZ),6,6,56.0,10,223,18,4/38,12.38,3.98,18.6,2,0,2022
AS Joseph (WI),11,11,97.2,5,437,17,3/36,25.70,4.48,34.3,0,0,2022
MA Leask (SCOT),16,14,93.0,3,448,17,3/35,26.35,4.81,32.8,0,0,2022
BM Scholtz (NAM),8,8,69.4,14,174,17,5/22,10.23,2.49,24.5,0,1,2022
SR Taylor (USA),15,15,100.0,5,433,17,3/34,25.47,4.33,35.2,0,0,2022
Karan KC (NEP),7,7,55.0,2,257,15,5/33,17.13,4.67,22.0,0,2,2022
SM Sharif (SCOT),16,16,127.5,9,629,15,5/35,41.93,4.92,51.1,0,1,2022
YS Chahal (IND),6,6,44.5,0,261,14,4/17,18.64,5.82,19.2,2,0,2022
Ali Khan (USA),6,6,49.1,4,217,13,5/20,16.69,4.41,22.6,0,1,2022
JN Frylinck (NAM),8,8,60.0,5,205,13,3/15,15.76,3.41,27.6,0,0,2022
CB Sole (SCOT),6,6,48.3,2,228,13,4/27,17.53,4.70,22.3,1,0,2022
RJW Topley (ENG),7,7,48.5,7,213,13,6/24,16.38,4.36,22.5,0,1,2022
A Zampa (AUS),6,6,50.5,0,236,13,5/35,18.15,4.64,23.4,0,1,2022
Ahmed Raza (UAE),7,7,69.0,2,279,12,3/46,23.25,4.04,34.5,0,0,2022
JR Hazlewood (AUS),11,11,95.3,12,379,12,3/30,31.58,3.96,47.7,0,0,2022
MJ Henry (NZ),5,5,49.0,4,253,12,4/68,21.08,5.16,24.5,1,0,2022
Sompal Kami (NEP),8,8,61.5,1,293,12,3/40,24.41,4.73,30.9,0,0,2022
NP Kenjige (USA),14,14,120.0,8,465,11,2/15,42.27,3.87,65.4,0,0,2022
C Green (AUS),8,8,41.0,0,185,11,5/33,16.81,4.51,22.3,0,1,2022
Khawar Ali (OMA),8,8,68.0,1,309,11,3/46,28.09,4.54,37.0,0,0,2022
Mehidy Hasan Miraz (BAN),6,6,47.0,3,251,11,4/29,22.81,5.34,25.6,1,0,2022
Mohammad Nawaz (3) (PAK),6,6,58.0,2,254,11,4/19,23.09,4.37,31.6,1,0,2022
A Neill (SCOT),6,6,46.4,1,252,11,3/32,22.90,5.40,25.4,0,0,2022
MJ Santner (NZ),9,9,81.3,2,368,11,3/71,33.45,4.51,44.4,0,0,2022
MA Starc (AUS),6,6,50.2,4,199,11,3/24,18.09,3.95,27.4,0,0,2022
CAH Stevenson (USA),11,11,67.3,1,406,11,2/23,36.90,6.01,36.8,0,0,2022
SN Thakur (IND),5,5,36.0,0,218,11,3/38,19.81,6.05,19.6,0,0,2022
DJ Willey (ENG),8,8,53.2,4,245,11,4/36,22.27,4.59,29.0,1,0,2022
MG Erasmus (NAM),8,8,55.0,4,215,10,3/31,21.50,3.90,33.0,0,0,2022
Haris Rauf (PAK),4,4,32.1,2,190,10,4/77,19.00,5.90,19.3,1,0,2022
Mohammad Wasim (1) (PAK),5,5,38.4,1,188,10,4/36,18.80,4.86,23.2,1,0,2022
Naseem Shah (PAK),3,3,26.0,0,111,10,5/33,11.10,4.26,15.6,0,1,2022
R Trumpelmann (NAM),8,8,49.5,3,226,10,3/41,22.60,4.53,29.9,0,0,2022
N Vanua (PNG),8,8,61.1,3,308,10,3/47,30.80,5.03,36.7,0,0,2022
Zeeshan Maqsood (OMA),7,7,59.0,2,227,10,4/39,22.70,3.84,35.4,1,0,2022
Basil Hameed (UAE),7,7,58.5,3,221,9,2/42,24.55,3.75,39.2,0,0,2022
RP Burl (ZIM),10,7,25.5,0,158,9,5/10,17.55,6.11,17.2,0,1,2022
B Evans (ZIM),8,8,49.3,2,317,9,5/54,35.22,6.40,33.0,0,1,2022
SI Kamea (PNG),7,7,53.0,3,307,9,3/36,34.11,5.79,35.3,0,0,2022
GJ Maxwell (AUS),11,9,66.0,2,324,9,4/52,36.00,4.90,44.0,1,0,2022
NK Patel (USA),13,13,94.1,1,492,9,2/26,54.66,5.22,62.7,0,0,2022
CA Soper (PNG),8,8,72.0,3,327,9,2/27,36.33,4.54,48.0,0,0,2022
TG Southee (NZ),5,5,47.0,4,204,9,4/22,22.66,4.34,31.3,1,0,2022
